"ID","manufacturer","model","model_name","year","body_style","power","ccm","cylinders","steering","transmission","drive","fuel","condition","price"
250017,"Glas","Goggomobil","Goggomobil TS 250",1966,"Coupe",10,245,2,"Left (LHD)","Manual","Rear","Petrol","Restored",12500
250007,"Toyota","Supra","Supra 3.0 Turbo",1989,"Convertible",173,2,6,"Left (LHD)","Manual","Rear","Petrol","Original",17600
249843,"Mercedes-Benz","SL-Class","280 SL",1969,"Convertible",125,2778,6,"Left (LHD)","Automatic","Rear","Petrol","Restored",245000
249835,"Porsche","911","911 2.0 T",1968,"Coupe",81,1991,6,"Left (LHD)","Manual","Rear","Petrol","Restored",128000
249829,"MG","MGB","MGB",1978,"Convertible",71,1798,4,"Left (LHD)","Manual","Rear","Petrol","Original",11950
249826,"Volvo","P 1800","1800 S",1969,"Coupe",77,1986,4,"Left (LHD)","Manual","Rear","Petrol","Restored",54500
249794,"Maserati","Bora","Bora 4900",1973,"Coupe",246,4930,8,"Left (LHD)","Manual","Rear","Petrol","Authentic",158000
249683,"Mercedes-Benz","SL-Class","190 SL",1959,"Convertible",77,1897,4,"Left (LHD)","Manual","Rear","Petrol","Original",98500
249686,"Peugeot","203","203 Berline Decouvrable",1950,"Convertible",31,1290,4,"Left (LHD)","Manual","Rear","Petrol","Original",34950
249688,"BMW","503","503",1956,"Coupe",103,3168,8,"Left (LHD)","Manual","Rear","Petrol","Original",215000
249667,"Jeep","CJ-5","CJ-5",1969,"4x4",49,2370,4,"Left (LHD)","Manual","4WD","Petrol","Original",8500
249678,"Oldsmobile","Cutlass","Cutlass Supreme Brougham",1984,"Saloon",123,5000,6,"Left (LHD)","Automatic","Rear","Petrol","Original",2999
